English,Kanji,Hiragana,Times Correct
Go,行く,いく,
See/Look At,見る,みる,
A lot of/many,多い,おおい,
Home/Household,家,いえ,
This/This One,これ,これ,
That/That One,それ,それ,
I,私,わたし,
Work/Job,仕事,しごと,
When,いつ,いつ,
Do/Make,する,する,
Go Out/Leave,出る,でる,
Use/Make Use Of,使う,つかう,
Place,所,ところ,
Make/Create,作る,つくる,
Think,思う,おもう,
Have/Possess,持つ,もつ,
Buy,買う,かう,
Time/Hour,時間,じかん,
Know,知る,しる,
Same/Identical,同じ,おなじ,
Now,今,いま,
New,新しい,あたらしい,
Become,なる,なる,
Not Yet/Yet/Still,まだ,まだ,
After,あと,あと,
Hear/Ask,聞く,きく,
Say/Tell,言う,いう,
Few/Little,少ない,少ない,
High/Tall,高い,たかい,
Child,子供,こども,
So/That Way,そう,そう,
Already/Yet,もう,もう,
Student,学生,がくせい,
Hot/Hot to the touch,熱い,あつい,
Please,どうぞ,どうぞ,
Afternoon/PM,午後,ごご,
Long,長い,ながい,
Book/Volume,本,ほん,
This Year,今年,ことし,
Often/Well,よく,よく,
She/Girlfriend,彼女,かのじょ,
How/What,どう,どう,
Word/Language,言葉,ことば,
Face,顔,かお,
Finish/End,終わる,おわる,
One/One Thing,一つ,ひとつ,
Give/Offer,あげる,あげる,
Like This/Such,こう,こう,
School,学校,がっこう,
Be Given,くれる,くれる,
Start/Start Something,始める,はじめる,
Get Up/Get Out of Bed,起きる,おきる,
Spring,春,はる,
Morning/AM,午前,ごぜん,
Another/Different,別,べつ,
Where,どこ,どこ,
Room,部屋,へや,
Young,若い,わかい,
Car/Automobile,車,くるま,
Put/Place,置く,おく,
